title_main,title_original,release_year,runtime,country,language_,director,production,genre,top_cast,plot,rating_imdb,rating_metacritic,rating_rottentomatoes,imdb_id,website,trailer,poster_small,poster_large,connections,quality,subtitles
Only Lovers Left Alive,,2013,123 min,"UK, Germany, Greece, France","English, French, Arabic, Turkish",Jim Jarmusch,Sony Pictures Classics,"Comedy, Drama, Fantasy, Horror, Romance","Tilda Swinton, Tom Hiddleston, Anton Yelchin, Mia Wasikowska","Adam (Tom Hiddleston), an underground musician, reunites with his lover for centuries (Tilda Swinton) after he becomes depressed and tired with the direction human society has taken. Their love is interrupted and tested by his wild and uncontrollable little sister (Mia Wasikowska).",73,79,84,tt1714915,http://sonyclassics.com/onlyloversleftalive/,,https://m.media-amazon.com/images/M/MV5BMTY0NTQ1NjA0OV5BMl5BanBnXkFtZTgwMDg5NjkzMTE@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BMTY0NTQ1NjA0OV5BMl5BanBnXkFtZTgwMDg5NjkzMTE@._V1_SX300.jpg,,1080,
Open Your Eyes ,Abre los ojos,1997,119 min,"Spain, France, Italy",Spanish,Alejandro Amenábar,Lucky Red,"Drama, Mystery, Sci-Fi, Thriller","Eduardo Noriega, Penélope Cruz, Chete Lera, Fele Martínez","A once handsome playboy, César finds himself in a mental facility and he can't remember why. All he can remember is meeting the love of his life for one day, and then getting into a car accident which left his face horribly disfigured. But the pain of becoming physically undesirable may help him to find the truth.",78,,85,tt0125659,,,https://m.media-amazon.com/images/M/MV5BYjA2MTA1MjUtYmUyNy00NGZiLTk2NTAtMDk3N2M3YmMwOTc1XkEyXkFqcGdeQXVyMjA0MzYwMDY@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BYjA2MTA1MjUtYmUyNy00NGZiLTk2NTAtMDk3N2M3YmMwOTc1XkEyXkFqcGdeQXVyMjA0MzYwMDY@._V1_SX300.jpg,,1080,Eng
Orchestra Rehearsal ,Prova d'orchestra,1978,70 min,"Italy, West Germany","Italian, German",Federico Fellini,Fox Lorber,"Comedy, Drama, Music","Balduin Baas, Clara Colosimo, Elizabeth Labi, Ronaldo Bonacchi","In a Medieval Roman chapel, now an oratorio, an elderly factotum sets up for rehearsal. The musicians arrive, joking and teasing. A union shop steward explains that a TV crew is there, talking to them is optional, and there will be no extra compensation. Musicians talk about their instruments. The German conductor arrives and puts them through their paces. He yells, he insults. The shop steward calls a 20 minute break. The conductor retreats to his dressing room and talks about how the world of music has changed, moving away from respect for the conductor. He returns to the rehearsal to find the orchestra in full revolt. What can bring them back to the music?",73,,88,tt0079759,,,https://m.media-amazon.com/images/M/MV5BZjFkMzFiNWMtZTI5Yi00Mzg0LThlODYtMDA4YzExZGJmMDQ2XkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BZjFkMzFiNWMtZTI5Yi00Mzg0LThlODYtMDA4YzExZGJmMDQ2XkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg,,1080,Eng
Pacific Rim,,2013,131 min,USA,"English, Japanese, Cantonese, Mandarin",Guillermo del Toro,Warner Bros. Pictures,"Action, Adventure, Sci-Fi","Charlie Hunnam, Diego Klattenhoff, Idris Elba, Rinko Kikuchi","When monstrous creatures, known as Kaiju, started rising from the sea, a war began that would take millions of lives and consume humanity's resources for years on end. To combat the giant Kaiju, a special type of weapon was devised: massive robots, called Jaegers, which are controlled simultaneously by two pilots whose minds are locked in a neural bridge. But even the Jaegers are proving nearly defenseless in the face of the relentless Kaiju. On the verge of defeat, the forces defending mankind have no choice but to turn to two unlikely heroes - a washed up former pilot (Charlie Hunnam) and an untested trainee (Rinko Kikuchi) - who are teamed to drive a legendary but seemingly obsolete Jaeger from the past. Together, they stand as mankind's last hope against the mounting apocalypse.",69,65,72,tt1663662,http://pacificrimmovie.com,,https://m.media-amazon.com/images/M/MV5BMTY3MTI5NjQ4Nl5BMl5BanBnXkFtZTcwOTU1OTU0OQ@@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BMTY3MTI5NjQ4Nl5BMl5BanBnXkFtZTcwOTU1OTU0OQ@@._V1_SX300.jpg,Pacific Rim,1080,Eng
Pacific Rim: Uprising,,2018,111 min,"UK, China, Japan, USA","English, Mandarin, Russian",Steven S. DeKnight,Universal Pictures,"Action, Adventure, Sci-Fi","John Boyega, Scott Eastwood, Cailee Spaeny, Burn Gorman","Jake Pentecost, son of Stacker Pentecost, reunites with Mako Mori to lead a new generation of Jaeger pilots, including rival Lambert and 15-year-old hacker Amara, against a new Kaiju threat.",56,44,44,tt2557478,http://www.pacificrimmovie.com/,,https://m.media-amazon.com/images/M/MV5BMjI3Nzg0MTM5NF5BMl5BanBnXkFtZTgwOTE2MTgwNTM@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BMjI3Nzg0MTM5NF5BMl5BanBnXkFtZTgwOTE2MTgwNTM@._V1_SX300.jpg,Pacific Rim,1080,
Padre,,2013,67 min,Costa Rica,Spanish,Alejo Crisóstomo,,Drama,"Cesar Maurel, Aaron van Schie Soto","Emilio lives in the countryside, away from the hectic city life. One day he discovers that someone has invaded his land and sets a trap to catch the intruder. Emilio recognizes himself in the visitor and finds in him a part of the life that had been taken from him.",54,,,tt3208592,,,https://ia.media-imdb.com/images/M/MV5BMTgwOTYzMzI0OF5BMl5BanBnXkFtZTgwODI0MzkwMjE@._V1_.jpg,http://ia.media-imdb.com/images/M/MV5BMTgwOTYzMzI0OF5BMl5BanBnXkFtZTgwODI0MzkwMjE@._V1_SX300.jpg,,SD,
Paisan ,Paisà,1946,120 min,Italy,"Italian, English, German, Sicilian",Roberto Rossellini,Blue Sky Cinemas,"Drama, War","Carmela Sazio, Robert Van Loon, Benjamin Emanuel, Raymond Campbell","Six vignettes follow the Allied invasion from July 1943 to winter 1944, from Sicily north to Venice. Communication is fragile. A woman leads an Allied patrol through a mine field; she dies protecting a G.I., but the Yanks think she killed him. A street urchin steals shoes from a G.I. who tracks him to a shanty town. A G.I. meets a woman the day Rome is liberated; in six months they meet again: he's cynical, she's a prostitute. A US nurse braves the trip across the Arno into German fire in search of a partisan she loves. Three chaplains, including a Jew, call on a monastery north in the Apennines. Allied soldiers and partisans try to escape capture in the marshes of the Po.",77,,100,tt0038823,,,https://m.media-amazon.com/images/M/MV5BZTI2NmNjNGItZDc4OC00YTI4LTkxYzItNmMxNzg3MWI4ZjYwXkEyXkFqcGdeQXVyMjA0MzYwMDY@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BZTI2NmNjNGItZDc4OC00YTI4LTkxYzItNmMxNzg3MWI4ZjYwXkEyXkFqcGdeQXVyMjA0MzYwMDY@._V1_SX300.jpg,,1080,Eng
Papillon,,1973,151 min,"France, USA","English, Spanish",Franklin J. Schaffner,Twentieth Century Fox Home Entertainment,"Biography, Crime, Drama","Steve McQueen, Dustin Hoffman, Victor Jory, Don Gordon","A semi-fictional account of Henri Charrière's time in the penal system in French Guyana - some of it spent on infamous Devil's Island - is presented. It's the early 1930s. Charrière - nicknamed Papillon because of his butterfly tattoo - and Louis Dega are two among many who have been convicted in the French judicial system, they now being transferred to French Guyana where they will serve their time, never to return to France even if they are ever released. A safe-cracker by criminal profession, Papillon is serving a life sentence for murdering a pimp, a crime for which he adamantly states he was framed. Dega is a wealthy counterfeiter, who expects his well-to-do wife eventually to get him released. On Papillon's initiative, Papillon and Dega enter into a business arrangement: Papillon will provide protection for Dega, while Dega will finance Papillon's escape attempt. As Papillon and Degas' time together lasts longer than either expects, their burgeoning friendship ends up being an important factor altering their original plans, needed as they work with and against others who are trying to achieve their own goals, sometime conflicting with Papillon and Dega's.",80,58,83,tt0070511,,,https://m.media-amazon.com/images/M/MV5BZGRjZjQ0NzAtYmZlNS00Zjc1LTk1YWItMDY5YzQxMzA4MTAzXkEyXkFqcGdeQXVyMjI4MjA5MzA@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BZGRjZjQ0NzAtYmZlNS00Zjc1LTk1YWItMDY5YzQxMzA4MTAzXkEyXkFqcGdeQXVyMjI4MjA5MzA@._V1_SX300.jpg,Papillon,1080,
Papillon,,2017,133 min,"Czech Republic, Spain, USA","English, Spanish",Michael Noer,Bleecker Street,"Crime, Drama, Mystery, Thriller","Charlie Hunnam, Damijan Oklopdzic, Christopher Fairbank, Jason Ryan","Wrongfully convicted for murder, Henri Charriere forms an unlikely relationship with fellow inmate and quirky convicted counterfeiter Louis Dega, in an attempt to escape from the notorious penal colony on Devil's Island.",71,51,52,tt5093026,http://www.papillon.movie,,https://m.media-amazon.com/images/M/MV5BMjIxMTMyOTE2NF5BMl5BanBnXkFtZTgwMDYyNzY1NTM@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BMjIxMTMyOTE2NF5BMl5BanBnXkFtZTgwMDYyNzY1NTM@._V1_SX300.jpg,Papillon,1080,
Paprika ,"パプリカ, Papurika",2006,90 min,Japan,"Japanese, English",Satoshi Kon,Sony Pictures Classics,"Animation, Drama, Fantasy, Mystery, Sci-Fi, Thriller","Megumi Hayashibara, Tôru Furuya, Kôichi Yamadera, Katsunosuke Hori","Three scientists at the Foundation for Psychiatric Research fail to secure a device they've invented, the D.C. Mini, which allows people to record and watch their dreams. A thief uses the device to enter people's minds, when awake, and distract them with their own dreams and those of others. Chaos ensues. The trio - Chiba, Tokita, and Shima - assisted by a police inspector and by a sprite named Paprika must try to identify the thief as they ward off the thief's attacks on their own psyches. Dreams, reality, and the movies merge, while characters question the limits of science and the wisdom of Big Brother.",77,81,84,tt0851578,,,https://m.media-amazon.com/images/M/MV5BNDI4MGEwZDAtZDg0Yy00MjFhLTg1MjctODdmZTMyNTUyNDI3L2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BNDI4MGEwZDAtZDg0Yy00MjFhLTg1MjctODdmZTMyNTUyNDI3L2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,,1080,Eng
Parasite ,"기생충, Gisaengchung",2019,132 min,South Korea,"Korean, English",Bong Joon Ho,NEON,"Comedy, Drama, Thriller","Kang-ho Song, Sun-kyun Lee, Yeo-jeong Jo, Woo-sik Choi","A poor family, the Kims, con their way into becoming the servants of a rich family, the Parks. But their easy life gets complicated when their deception is threatened with exposure.",86,96,99,tt6751668,,,https://m.media-amazon.com/images/M/MV5BYWZjMjk3ZTItODQ2ZC00NTY5LWE0ZDYtZTI3MjcwN2Q5NTVkXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BYWZjMjk3ZTItODQ2ZC00NTY5LWE0ZDYtZTI3MjcwN2Q5NTVkXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_SX300.jpg,,1080,Eng
"Paris, Texas",,1984,145 min,"West Germany, France, UK, USA","English, Spanish",Wim Wenders,20th Century Fox,Drama,"Harry Dean Stanton, Nastassja Kinski, Dean Stockwell, Aurore Clément","A man wanders out of the desert after a four year absence. His brother finds him, and together they return to L.A. to reunite the man with his young son. Soon after, he and the boy set out to locate the mother of the child, who left shortly after the man disappeared.",81,,100,tt0087884,,,https://ia.media-imdb.com/images/M/MV5BM2RjMmU3ZWItYzBlMy00ZmJkLWE5YzgtNTVkODdhOWM3NGZhXkEyXkFqcGdeQXVyNDA5Mjg5MjA@._V1_.jpg,https://ia.media-imdb.com/images/M/MV5BM2RjMmU3ZWItYzBlMy00ZmJkLWE5YzgtNTVkODdhOWM3NGZhXkEyXkFqcGdeQXVyNDA5Mjg5MjA@._V1_SX300.jpg,,720,Eng
Pepe El Toro,,1953,120 min,Mexico,Spanish,Ismael Rodríguez,Butaca,Drama,"Pedro Infante, Evita Muñoz 'Chachita', Amanda del Llano, Irma Dorantes","Pepe el Toro becomes a boxer and accidentally kills his best friend during a semi-final match. Channeling his anger and frustration, Pepe goes on to win the championship while beginning close friends with his friend's widower. The third and final installment in the ""Pepe el Toro"" saga and part of the 23 film library of the most iconic classic Mexican film and recording star, Pedro Infante.",73,,,tt0045023,,,https://m.media-amazon.com/images/M/MV5BZTYxZTJkYWMtZTA1NC00NDYyLTliYWMtNzJjMGFmMjQ5OWUyXkEyXkFqcGdeQXVyMTk4MDgwNA@@._V1_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BMTk2MDY5MjI2Ml5BMl5BanBnXkFtZTcwNjU3MzE4Mg@@._V1_SX300.jpg,"Nosotros, los pobres",SD,
Persona,,1966,83 min,Sweden,"Swedish, English",Ingmar Bergman,Criterion Collection,"Drama, Thriller","Bibi Andersson, Liv Ullmann, Margaretha Krook, Gunnar Björnstrand","A young nurse, Alma, is put in charge of Elisabeth Vogler: an actress who is seemingly healthy in all respects, but will not talk. As they spend time together, Alma speaks to Elisabeth constantly, never receiving any answer. Alma eventually confesses her secrets to a seemingly sympathetic Elisabeth and finds that her own personality is being submerged into Elisabeth's persona.",81,,90,tt0060827,,,https://m.media-amazon.com/images/M/MV5BMTM0YzExY2EtMjUyZi00ZmIwLWFkYTktNjY5NmVkYTdkMjI5XkEyXkFqcGdeQXVyNzQxNDExNTU@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BMTM0YzExY2EtMjUyZi00ZmIwLWFkYTktNjY5NmVkYTdkMjI5XkEyXkFqcGdeQXVyNzQxNDExNTU@._V1_SX300.jpg,,1080,
Pet Sematary,,1989,103 min,USA,English,Mary Lambert,Paramount Home Video,"Horror, Thriller","Dale Midkiff, Fred Gwynne, Denise Crosby, Brad Greenquist","The Creeds have just moved to a new house in the countryside. Their house is perfect, except for two things: the semi-trailers that roar past on the narrow road, and the mysterious cemetery in the woods behind the house. The Creed's neighbours are reluctant to talk about the cemetery, and for good reason too.",66,38,51,tt0098084,,,https://m.media-amazon.com/images/M/MV5BYjBlNTBhYWQtMzg5Yi00NDA2LWJmMjYtZmM0ODhiYzkwYmY5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BYjBlNTBhYWQtMzg5Yi00NDA2LWJmMjYtZmM0ODhiYzkwYmY5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,,1080,Eng
Pet Sematary,,2019,101 min,"USA, Canada",English,"Kevin Kölsch, Dennis Widmyer",Paramount Pictures,"Horror, Mystery, Thriller","Jason Clarke, Amy Seimetz, John Lithgow, Jeté Laurence","Dr. Louis Creed and his wife, Rachel, relocate from Boston to rural Maine with their two young children. The couple soon discover a mysterious burial ground hidden deep in the woods near their new home.",57,57,58,tt0837563,,,https://m.media-amazon.com/images/M/MV5BMjJiN2UwYWItNWJjNi00Zjg4LWE5NmItMmM4N2I3ZjY3OTY2XkEyXkFqcGdeQXVyODQxMTI4MjM@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BMjJiN2UwYWItNWJjNi00Zjg4LWE5NmItMmM4N2I3ZjY3OTY2XkEyXkFqcGdeQXVyODQxMTI4MjM@._V1_SX300.jpg,Pet Sematary (1989) remake,1080,Eng
Phantom Thread,,2017,130 min,"USA, UK","English, French",Paul Thomas Anderson,Focus Features,"Drama, Romance","Vicky Krieps, Daniel Day-Lewis, Lesley Manville, Julie Vollono","Set in 1950's London, Reynolds Woodcock is a renowned dressmaker whose fastidious life is disrupted by a young, strong-willed woman, Alma, who becomes his muse and lover.",77,90,91,tt5776858,http://www.focusfeatures.com/phantom-thread,,https://m.media-amazon.com/images/M/MV5BMWJkNzBkM2UtYWFlMC00NmEwLTgxOGUtMjVmMzYyZjgyMmEzXkEyXkFqcGdeQXVyMjM4NTM5NDY@._V1_.jpg,https://ia.media-imdb.com/images/M/MV5BMTUxODcwOTU2Nl5BMl5BanBnXkFtZTgwOTUzNjY2NDM@._V1_SX300.jpg,,1080,Spa
Planet of the Apes,,1968,112 min,USA,English,Franklin J. Schaffner,20th Century Fox,"Adventure, Sci-Fi","Charlton Heston, Roddy McDowall, Kim Hunter, Maurice Evans",Taylor and two other astronauts come out of deep hibernation to find that their ship has crashed. Escaping with little more than clothes they find that they have landed on a planet where men are pre-lingual and uncivilized while apes have learned speech and technology. Taylor is captured and taken to the city of the apes after damaging his throat so that he is silent and cannot communicate with the apes.,80,79,89,tt0063442,,,https://ia.media-imdb.com/images/M/MV5BMTg0NjUwMzg5NF5BMl5BanBnXkFtZTgwNDQ0NjcwMTE@._V1_.jpg,https://ia.media-imdb.com/images/M/MV5BMTg0NjUwMzg5NF5BMl5BanBnXkFtZTgwNDQ0NjcwMTE@._V1_SX300.jpg,Planet of the Apes,1080,Eng
Planet of the Apes,,2001,119 min,USA,English,Tim Burton,20th Century Fox,"Action, Adventure, Sci-Fi, Thriller","Mark Wahlberg, Tim Roth, Helena Bonham Carter, Michael Clarke Duncan","It is the year 2029: Astronaut Leo Davidson boards a pod cruiser on a Space Station for a ""routine"" reconnaissance mission. But an abrupt detour through a space time wormhole lands him on a strange planet where talking apes rule over the human race. With the help of a sympathetic chimpanzee activist named Ari and a small band of human rebels, Leo leads the effort to evade the advancing Gorilla Army led by General Thade and his most trusted warrior Attar. Now the race is on to reach a sacred temple within the planet's Forbidden Zone to discover the shocking secrets of mankind's past - and the key to its future.",57,50,45,tt0133152,http://www.planetoftheapes.com,,https://m.media-amazon.com/images/M/MV5BY2RlMDhlY2MtMjQ1Zi00NzI5LTgxOTgtZjliNWMzYTY3NWZkL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,https://ia.media-imdb.com/images/M/MV5BY2RlMDhlY2MtMjQ1Zi00NzI5LTgxOTgtZjliNWMzYTY3NWZkL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Planet of the Apes,1080,Eng
Portrait of a Lady on Fire ,Portrait de la jeune fille en feu,2019,122 min,France,"French, Italian",Céline Sciamma,,"Drama, Romance","Noémie Merlant, Adèle Haenel, Luàna Bajrami, Valeria Golino","On an isolated island in Brittany at the end of the eighteenth century, a female painter is obliged to paint a wedding portrait of a young woman.",81,95,,tt8613070,,,https://m.media-amazon.com/images/M/MV5BNjgwNjkwOWYtYmM3My00NzI1LTk5OGItYWY0OTMyZTY4OTg2XkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BNjgwNjkwOWYtYmM3My00NzI1LTk5OGItYWY0OTMyZTY4OTg2XkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_SX300.jpg,,1080,Eng (H)
Powaqqatsi: Life in Transformation,,1988,99 min,USA,"Hopi, English, Spanish",Godfrey Reggio,Cannon Film Distributors,"Documentary, Music","Christie Brinkley, David Brinkley, Pope John Paul II, Dan Rather",An exploration of technologically developing nations and the effect the transition to Western-style modernization has had on them.,73,,63,tt0095895,,,https://ia.media-imdb.com/images/M/MV5BMDg3ZGRiNGEtNTFhZi00MWU5LWIxN2UtYzlmOGI3NmY5NGYwXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BMDg3ZGRiNGEtNTFhZi00MWU5LWIxN2UtYzlmOGI3NmY5NGYwXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Qatsi trilogy,720,
Predator,,1987,107 min,"USA, Mexico","English, Spanish, Russian",John McTiernan,20th Century Fox,"Action, Adventure, Sci-Fi, Thriller","Arnold Schwarzenegger, Carl Weathers, Elpidia Carrillo, Bill Duke","A team of special force ops, led by a tough but fair soldier, Major ""Dutch"" Schaefer, are ordered to assist CIA man, Colonel Al Dillon, on a rescue mission for potential survivors of a Helicopter downed over remote South American jungle. Not long after they land, Dutch and his team discover that they have been sent in under false pretenses. This deception turns out to be the least of their worries though, when they find themselves being methodically hunted by something not of this world.",78,45,81,tt0093773,,,https://m.media-amazon.com/images/M/MV5BY2QwYmFmZTEtNzY2Mi00ZWMyLWEwY2YtMGIyNGZjMWExOWEyXkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BY2QwYmFmZTEtNzY2Mi00ZWMyLWEwY2YtMGIyNGZjMWExOWEyXkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_SX300.jpg,,1080,Eng
Predator 2,,1990,108 min,USA,English,Stephen Hopkins,Twentieth Century Fox Home Entertainment,"Action, Horror, Sci-Fi","Kevin Peter Hall, Danny Glover, Gary Busey, Rubén Blades","LAPD lieutenant Mike Harrigan (Danny Glover) and his cocky detective partner Jerry Lambert (Bill Paxton) soon realize that what seemed a bloody feud between voodoo high priest King Willie's (Calvin Lockhart) Jamaican gangs and Ramon Vega's (Corey Rand) Colombian drug gang is actually the work of a scary third party. Peter Keyes's (Gary Busey) federal team shields the crime scene even for the LAPD, but after forensics proves it must be an alien, who keeps making victims, the chase brings them all together.",63,46,26,tt0100403,,,https://m.media-amazon.com/images/M/MV5BNThjZjI4NTgtZDk4Mi00ZjI1LWExZGUtNTRkOWY1ZTY3M2FlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BNThjZjI4NTgtZDk4Mi00ZjI1LWExZGUtNTRkOWY1ZTY3M2FlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,,1080,Eng
Predators,,2010,107 min,USA,"English, Spanish, Russian",Nimród Antal,20th Century Fox,"Action, Adventure, Sci-Fi, Thriller","Adrien Brody, Topher Grace, Alice Braga, Walton Goggins","The mercenary Royce; the military Isabelle; the Russian soldier Nikolai; the San Quentin criminal Stans; the Sierra Leone militia Mombasa; the drug lord Cuchillo; the Yakuza Hanzo; and the Doctor Edwin awake in free fall but they succeed to open their parachutes landing in a jungle. Soon they find that they are on another planet and they are prey of aliens in a deadly hunting game, and they need to join forces to destroy their predators and survive.",64,51,65,tt1424381,http://www.predators-movie.com/,,https://m.media-amazon.com/images/M/MV5BNjFmNDNlMGItMDQxMS00ZWMxLTg4MmQtMTBiNWU3ZDU1Nzk1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BNjFmNDNlMGItMDQxMS00ZWMxLTg4MmQtMTBiNWU3ZDU1Nzk1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,,1080,Eng
Predestination,,2014,97 min,"Australia, USA",English,"Michael Spierig, Peter Spierig",Sony Pictures,"Drama, Mystery, Sci-Fi, Thriller","Ethan Hawke, Sarah Snook, Christopher Kirby, Christopher Sommers","PREDESTINATION chronicles the life of a Temporal Agent sent on an intricate series of time-travel journeys designed to ensure the continuation of his law enforcement career for all eternity. Now, on his final assignment, the Agent must pursue the one criminal that has eluded him throughout time.",75,69,84,tt2397535,http://www.facebook.com/PredestinationMovie,,https://m.media-amazon.com/images/M/MV5BMTAzODc3NjU1NzNeQTJeQWpwZ15BbWU4MDk5NTQ4NTMx._V1_.jpg,https://m.media-amazon.com/images/M/MV5BMTAzODc3NjU1NzNeQTJeQWpwZ15BbWU4MDk5NTQ4NTMx._V1_SX300.jpg,,1080,Eng
Primer,,2004,77 min,USA,"English, French",Shane Carruth,ThinkFilm,"Drama, Sci-Fi, Thriller","Shane Carruth, David Sullivan, Casey Gooden, Anand Upadhyaya","Engineers Aaron, Abe, Robert and Phillip are working on an invention, the prototype being built in Aaron's garage. This project is beyond their day jobs. The project truly does belong to Aaron and Abe, as they use all their free time working on it, primarily trying to overcome the many engineering related problems they've encountered. It is during one of his tests with the invention running that Abe discovers that a protein inside the main unit has multiplied much more rapidly than it could in nature. Rather than the invention being a protein super incubator, Abe, using himself as a guinea pig, and a very meticulous one at that, discovers that the invention can be used as a time machine. In his self experiment, Abe was especially careful not to interfere with his own self in that time warp. Abe passes along this discovery to Aaron, who he expects will tell his wife Kara in what is the sanctity of their marriage, but he doesn't want to tell either Robert or Phillip. Much to Abe's surprise, Aaron does not want to tell Kara, it being a sole intellectual property of just the two of them, in the process moving the base of operation to a locked storage unit. Aaron's plan for the two of them is to use the invention to win big in the stock market by knowing through the time travel what has happened in the market. With two thoughts on the matter now instead of just one, Aaron and Abe may hit some logistical and philosophical roadblocks in how to move forward.",69,68,72,tt0390384,http://primermovie.com/,,https://m.media-amazon.com/images/M/MV5BNjc3OWVjMTItYjc0Yi00NmFlLTk2YTgtYmU0MzcxMjBkNTYxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BNjc3OWVjMTItYjc0Yi00NmFlLTk2YTgtYmU0MzcxMjBkNTYxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,,1080,Eng
Prince of Darkness,,1987,102 min,USA,"English, Latin",John Carpenter,MCA Universal Home Video,Horror,"Donald Pleasence, Jameson Parker, Victor Wong, Lisa Blount","A sinister secret has been kept in the basement of an abandoned Los Angeles church for many years. With the death of a priest belonging to a mysterious sect, another priest opens the door to the basement and discovers a vat containing a green liquid. The priest contacts a group of physics graduate students to investigate it. Unfortunately, they discover that the liquid contains the essence of Satan himself, and they also discover that he will release HIS father - an all-powerful Anti-God! The liquid later comes to life itself, turning some of the students into zombies as the Devil comes forward to release his father. Will these students be able to stop him?",67,50,56,tt0093777,,,https://m.media-amazon.com/images/M/MV5BZmI1ODg4MjYtY2U4NS00NTRlLWJlMDEtYjY2YzJkNWVhMDdiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BZmI1ODg4MjYtY2U4NS00NTRlLWJlMDEtYjY2YzJkNWVhMDdiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Apocalypse trilogy,1080,Eng
Princess Mononoke ,"もののけ姫, Mononoke-hime",1997,134 min,Japan,Japanese,Hayao Miyazaki,Miramax Films,"Animation, Adventure, Fantasy","Billy Crudup, Billy Bob Thornton, Minnie Driver, John DiMaggio","While protecting his village from rampaging boar-god/demon, a confident young warrior, Ashitaka, is stricken by a deadly curse. To save his life, he must journey to the forests of the west. Once there, he's embroiled in a fierce campaign that humans were waging on the forest. The ambitious Lady Eboshi and her loyal clan use their guns against the gods of the forest and a brave young woman, Princess Mononoke, who was raised by a wolf-god. Ashitaka sees the good in both sides and tries to stem the flood of blood. This is met be animosity by both sides as they each see him as supporting the enemy.",84,76,93,tt0119698,,,https://m.media-amazon.com/images/M/MV5BMTVlNWM4NTAtNDQxYi00YWU5LWIwM2MtZmVjYWFmODZiODE5XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BMTVlNWM4NTAtNDQxYi00YWU5LWIwM2MtZmVjYWFmODZiODE5XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,,1080,"Eng, Spa"
Prometheus,,2012,124 min,"USA, UK","English, Scottish Gaelic",Ridley Scott,20th Century Fox,"Adventure, Mystery, Sci-Fi","Noomi Rapace, Michael Fassbender, Charlize Theron, Idris Elba","This film is set in 2093 and takes place in the same universe as the 'Alien' movies. A group of explorers, including some archaeologists, are on an ""undisclosed"" mission. They arrive at a moon trillions of miles away from Earth. The team spot what they believe to be signs of civilization. They go to investigate and find more than just signs, they find conclusive evidence. But some of them have an ulterior motive for being there, including the Weyland Corporation. They believe that this is where the human race actually came from. Things soon turn from excitement to survival once inside their discovery.",70,64,73,tt1446714,http://www.prometheus-movie.com/,,https://m.media-amazon.com/images/M/MV5BMTY3NzIyNTA2NV5BMl5BanBnXkFtZTcwNzE2NjI4Nw@@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BMTY3NzIyNTA2NV5BMl5BanBnXkFtZTcwNzE2NjI4Nw@@._V1_SX300.jpg,Alien,1080,Eng
